,,,,,,,,,Normalized abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,Spectral counts,,,,,,,,,,,
,,,,,,,,,5fmol,,,12.5fmol,,,25fmol,,,50fmol,,,5fmol,,,12.5fmol,,,25fmol,,,50fmol,,,5fmol,,,12.5fmol,,,25fmol,,,50fmol,,
Accession,Peptide count,Unique peptides,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,UPS1_5000amol_R1,UPS1_5000amol_R2,UPS1_5000amol_R3,UPS1_12500amol_R1,UPS1_12500amol_R2,UPS1_12500amol_R3,UPS1_25000amol_R2,UPS1_25000amol_R3,UPS1_25000amol_R1,UPS1_50000amol_R1,UPS1_50000amol_R2,UPS1_50000amol_R3,UPS1_5000amol_R1,UPS1_5000amol_R2,UPS1_5000amol_R3,UPS1_12500amol_R1,UPS1_12500amol_R2,UPS1_12500amol_R3,UPS1_25000amol_R2,UPS1_25000amol_R3,UPS1_25000amol_R1,UPS1_50000amol_R1,UPS1_50000amol_R2,UPS1_50000amol_R3,UPS1_5000amol_R1,UPS1_5000amol_R2,UPS1_5000amol_R3,UPS1_12500amol_R1,UPS1_12500amol_R2,UPS1_12500amol_R3,UPS1_25000amol_R2,UPS1_25000amol_R3,UPS1_25000amol_R1,UPS1_50000amol_R1,UPS1_50000amol_R2,UPS1_50000amol_R3
P12081ups|SYHC_HUMAN_UPS,18,17,961.16,1.06E-13,6.35443407,50fmol,5fmol,"Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)",5388548.685,5165213.043,5216724.026,9139215.406,9017690.196,9196748.862,16541965.61,16449747,15972323.49,33576323.84,33918205.39,32717982.73,5379243.079,5215043.319,5248270.569,9139215.406,9073339.538,9302658.76,20084988.11,19043474.79,16073188.07,40400913.52,41012429.46,39027372,11,14,12,31,27,25,43,45,34,49,47,40
P01008ups|ANT3_HUMAN_UPS,17,17,1017.67,1.76E-13,7.149859872,50fmol,5fmol,Antithrombin-III (Chain 33-464) - Homo sapiens (Human),2615156.728,2741531.443,2694518.284,5103682.178,5178295.908,5139727.958,8667993.441,8654513.614,8957682.236,19542605.7,19370484.95,18651907.31,2610640.556,2767979.775,2710812.56,5103682.178,5210251.848,5198917.142,10524537.97,10019121.38,9014249.639,23514757.8,23421954.03,22248771.6,5,5,4,24,34,33,52,50,57,70,67,66
P02768ups|ALBU_HUMAN_UPS,33,32,1854.9,6.10E-13,7.58985859,50fmol,5fmol,Serum albumin (Chain 26-609) - Homo sapiens (Human),7986693.68,8348873.417,8103392.248,16454968.13,16270700.07,15868107.55,30736703.48,29473395.64,28549803.91,61498152.96,62673142.26,61316950.3,7972901.279,8429417.367,8152395.035,16454968.13,16371108.69,16050844.92,37320010.12,34120638.27,28730094.78,73998022.27,75781657.56,73141411.21,15,13,16,33,30,34,73,79,82,135,135,128
P02788ups|TRFL_HUMAN_UPS,29,29,1999.98,1.05E-12,8.064713903,50fmol,5fmol,Lactotransferrin (Chain 20-710) - Homo sapiens (Human),9531279.368,9510209.535,9351688.489,19836047.1,19812977.55,19368726.43,39490921.73,35944873.82,36929565.5,76417990.25,75057020.7,77507841.52,9514819.587,9601957.224,9408239.966,19836047.1,19935246.02,19591776.98,47949240.86,41612512.24,37162774.23,91950406.19,90755708.66,92454580.35,12,17,19,42,46,46,78,67,62,86,73,82
P63165ups|SUMO1_HUMAN_UPS,7,6,370.46,1.16E-12,5.936619564,50fmol,5fmol,"Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)",1784798.112,1811070.744,1780527.708,3310062.105,3063526.832,3121847.975,5412090.918,5624701.878,5470343.397,10727756.95,10623623.57,10566240.51,1781715.904,1828542.657,1791294.905,3310062.105,3082432.256,3157799.223,6571273.59,6511581.51,5504888.396,12908238.05,12845626.92,12603851.6,0,0,0,4,3,7,10,17,15,27,25,16
P04040ups|CATA_HUMAN_UPS,21,20,1205.83,3.43E-12,5.085467862,50fmol,5fmol,Catalase (Chain 2-527) - Homo sapiens (Human),7309189.402,7061620.094,7477954.032,11908755.12,11687698.86,11608707.78,20088028.25,19977881.87,18931247.61,37740789.25,36463192.78,36907202.72,7296566.999,7129745.546,7523174.673,11908755.12,11759825.17,11742393.83,24390560.23,23127911.31,19050797.68,45411831.56,44089718.33,44024448.01,8,6,6,28,24,26,46,36,38,65,65,49
P02787ups|TRFE_HUMAN_UPS,21,20,1429.64,1.26E-11,8.36935101,50fmol,5fmol,Serotransferrin (Chain 20-698) - Homo sapiens (Human),4351718.367,4001062.662,4082774.296,9024070.859,8709333.102,8427734.383,16589674.68,15992959.33,15260530.33,35730762.02,34052764.52,34294000.99,4344203.286,4039662.049,4107463.625,9024070.859,8763079.533,8524788.298,20142915.69,18514662.74,15356899.96,42993254.21,41175132.55,40907312.19,1,1,3,24,32,28,42,50,52,75,72,69
P61626ups|LYSC_HUMAN_UPS,3,3,243.16,1.80E-11,9.406081005,50fmol,5fmol,Lysozyme C (Chain 19-148) - Homo sapiens (Human),1581653.349,1584488.584,1610421.562,3459601.612,3064555.456,3317154.474,6910011.813,6409868.922,6655301.612,14327787.84,15450220.04,15150735.27,1578921.956,1599774.595,1620160.094,3459601.612,3083467.227,3355354.874,8390025.005,7420550.434,6697329.574,17239996.85,18681738.98,18072427.82,0,0,0,6,6,6,7,10,7,8,6,10
